idno,name,year,date_from,date_to,cadre,training_name
01GJ029600,Shri Mohammad Shahid,2007,16/06/2007,08/08/2007,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01GJ029700,Dr. S Murali Krishna,2007,16/06/2007,08/08/2007,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01GJ029800,Shri Ajay Bhadoo,2008,16/06/2008,08/08/2008,Gujarat,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01GJ029813,Shri V. P. Patel,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ029813,Shri V. P. Patel,2014,23/06/2014,14/08/2014,Gujarat,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01GJ029814,Shri H. S Patel,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ029811,Shri A. M. Mankad,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ029816,Shri S B Raval,2008,16/06/2008,08/08/2008,Gujarat,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01GJ029819,Shri A J Shah,2008,16/06/2008,08/08/2008,Gujarat,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01GJ029821,Shri G R Chaudhari,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ029820,Shri N P Thakar,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ029820,Shri N P Thakar,2014,23/06/2014,14/08/2014,Gujarat,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01GJ030000,Shri Vinod R Rao,2008,16/06/2008,08/08/2008,Gujarat,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01GJ029900,Shri Hareet Shukla,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ030100,Shri M Thennarasan,2008,16/06/2008,08/08/2008,Gujarat,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01GJ030111,Shri D P Joshi,2008,16/06/2008,08/08/2008,Gujarat,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01GJ030101,Shri Torawane Milind Shivram,2009,29/06/2009,21/08/2009,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1999 Batch
01GJ030200,Shri Anupam Anand,2009,29/06/2009,21/08/2009,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1999 Batch
01GJ030300,Ms. Arti Kanwar,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ030400,Shri Vijay Nehra,2011,20/06/2011,12/08/2011,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ030500,Shri Jai Prakash Shivahar,2010,07/06/2010,30/07/2010,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01GJ030600,Shri Sandeep Kumar,2010,07/06/2010,30/07/2010,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01GJ030700,Shri Lochan Sehra,2012,02/07/2012,24/08/2012,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ030800,Dr.(Ms.) Sandhya Bhullar,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031000,Shri Pravinbhai Khodabhai Solanki,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031100,Shri Swaroop P,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031101,Ms. Avantika Singh Aulakh,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031200,Shri Gupta Rahul Babulalbhai,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031400,Shri Rajender Kumar,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031500,Shri Raj Kumar Beniwal,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ031600,Shri Rajesh Manjhu,2013,29/04/2013,21/06/2013,Gujarat,Mid Career Programme for IAS Officers - Phase III
01GJ808001,Shri D. A Satya,2010,07/06/2010,30/07/2010,Gujarat,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01HP008600,Dr. Ravinder Kumar Jain,2009,05/01/2009,30/01/2009,Himachal Pradesh,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01HP008900,Shri Deepak Sanan,2010,12/12/2010,14/01/2011,Himachal Pradesh,Mid Career Programme for IAS Officers- Phase V
01HP009000,Shri Ajay Mittal,2009,05/01/2009,30/01/2009,Himachal Pradesh,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01HP009101,Shri Vineet Chaudhary,2011,09/10/2011,11/11/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase V
01HP009200,Ms. Upma Chaudhary,2012,01/10/2012,02/11/2012,Himachal Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HP009400,Dr. Asha Ram Sihag,2011,09/10/2011,11/11/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase V
01HP009600,Shri Vidya Chander Pharka,2011,09/10/2011,11/11/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase V
01HP009601,Dr. Bharti S Sihag,2011,09/10/2011,11/11/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase V
01HP009700,Shri Tarun Shridhar,2012,01/10/2012,02/11/2012,Himachal Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HP009800,Shri Arvind Mehta,2012,01/10/2012,02/11/2012,Himachal Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HP009900,Shri Ajay Tyagi,2013,16/09/2013,18/10/2013,Himachal Pradesh,7th Round MCT Phase 5
01HP010100,Shri Prem Chand Dhiman,2012,01/10/2012,02/11/2012,Himachal Pradesh,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HP010300,Shri Sanjeev Gupta,2013,16/09/2013,18/10/2013,Himachal Pradesh,7th Round MCT Phase 5
01HP010400,Shri Shrikant Baldi,2013,16/09/2013,18/10/2013,Himachal Pradesh,7th Round MCT Phase 5
01HP012200,Shri Jagdish Chander,2007,21/04/2007,25/05/2007,Himachal Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01HP012300,Shri Kamlesh Kumar Pant,2010,04/10/2010,26/11/2010,Himachal Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HP012600,Shri Onkar Chand Sharma,2012,30/04/2012,22/06/2012,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase IV
01HP012700,Shri Bharat Harbanslal Khera,2008,21/04/2008,11/06/2008,Himachal Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HP012800,Shri Rawther Dawood Nazeem,2008,21/04/2008,11/06/2008,Himachal Pradesh,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HP013000,Shri Maneesh Garg,2011,22/08/2011,14/10/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase IV
01HP013100,Dr. Subhashish Panda,2012,30/04/2012,22/06/2012,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase IV
01HP013300,Shri Devesh Kumar,2008,16/06/2008,08/08/2008,Himachal Pradesh,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01HP013300,Shri Devesh Kumar,2013,01/07/2013,23/08/2013,Himachal Pradesh,8th Round of Phase-IV Mid Career Programme for IAS Officers
01HP013400,Shri Pushpendra Rajput,2007,16/06/2007,08/08/2007,Himachal Pradesh,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01HP013400,Shri Pushpendra Rajput,2014,23/06/2014,14/08/2014,Himachal Pradesh,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01HP013500,Dr. Amandeep Garg,2008,16/06/2008,08/08/2008,Himachal Pradesh,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01HP013500,Dr. Amandeep Garg,2014,23/06/2014,14/08/2014,Himachal Pradesh,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01HP013700,Shri R Selvam,2011,20/06/2011,12/08/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP013800,Ms. Nandita Gupta,2012,02/07/2012,24/08/2012,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP013900,Shri Abhishek Jain,2011,20/06/2011,12/08/2011,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP014000,Ms. Sudha Devi M,2013,29/04/2013,21/06/2013,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP014101,Ms. Priyanka Basu Ingty,2012,02/07/2012,24/08/2012,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP014200,Shri C Paulrasu,2012,02/07/2012,24/08/2012,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP014400,Shri Ritesh Chauhan,2013,29/04/2013,21/06/2013,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HP808002,Shri Purnima Chauhan,2013,29/04/2013,21/06/2013,Himachal Pradesh,Mid Career Programme for IAS Officers - Phase III
01HY013600,Shri Ajit M Sharan,2007,01/01/2007,25/01/2007,Haryana,MIC Career Programme for IAS Officers - Phase V
01HY014200,Shri Ashok Lavasa,2008,06/01/2008,01/02/2008,Haryana,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01HY014400,Shri Madhusudan Prasad,2009,05/01/2009,30/01/2009,Haryana,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01HY014500,Shri Praveen Kumar Jain,2009,05/01/2009,30/01/2009,Haryana,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01HY014700,Ms. Anuradha Gupta,2010,12/12/2010,14/01/2011,Haryana,Mid Career Programme for IAS Officers- Phase V
01HY015000,Shri Depinder Singh Dhesi,2010,12/12/2010,14/01/2011,Haryana,Mid Career Programme for IAS Officers- Phase V
01HY015200,Dr. Krishan Kumar Jalan,2011,09/10/2011,11/11/2011,Haryana,Mid Career Programme for IAS Officers - Phase V
01HY015400,Dr. Dalip Singh,2011,09/10/2011,11/11/2011,Haryana,Mid Career Programme for IAS Officers - Phase V
01HY015600,Ms. Keshni Anand Arora,2013,16/09/2013,18/10/2013,Haryana,7th Round MCT Phase 5
01HY015700,Shri Ranjan Kumar Gupta,2011,09/10/2011,11/11/2011,Haryana,Mid Career Programme for IAS Officers - Phase V
01HY015800,Shri Yudhvir Singh Malik,2012,01/10/2012,02/11/2012,Haryana,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HY016300,Shri Sudeep Singh Dhillon,2012,01/10/2012,02/11/2012,Haryana,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HY016200,Ms. Navraj Sandhu,2013,16/09/2013,18/10/2013,Haryana,7th Round MCT Phase 5
01HY016400,Shri Roshan Lal,2012,01/10/2012,02/11/2012,Haryana,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HY016500,Shri Hardeep Kumar,2012,01/10/2012,02/11/2012,Haryana,6th round of Phase-V  of the MCTP for IAS officers (2012)
01HY016600,Dr. Shyam Sunder Prasad,2013,16/09/2013,18/10/2013,Haryana,7th Round MCT Phase 5
01HY016701,Shri Sunil Kumar Gulati,2013,16/09/2013,18/10/2013,Haryana,7th Round MCT Phase 5
01HY017300,Shri Prasanta Kumar Mahapatra,2013,16/09/2013,18/10/2013,Haryana,7th Round MCT Phase 5
01HY020400,Shri Anil Malik,2007,21/04/2007,25/05/2007,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01HY020500,Shri Vineet Garg,2007,21/04/2007,25/05/2007,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01HY020600,Dr. Ashok Khemka,2007,21/04/2007,25/05/2007,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01HY020601,Dr. Abhilaksh Likhi,2007,21/04/2007,25/05/2007,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01HY020700,Shri Sandeep Garg,2009,01/06/2009,24/07/2009,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01HY020800,Shri Apoorva Kumar Singh,2007,21/04/2007,25/05/2007,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01HY020900,Shri Shrikant Walgad,2009,01/06/2009,24/07/2009,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01HY021000,Ms. G Anupama,2010,04/10/2010,26/11/2010,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HY021100,Shri Arun Kumar Gupta,2009,01/06/2009,24/07/2009,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01HY021200,Ms. Deepti Umashankar,2010,04/10/2010,26/11/2010,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HY021301,Shri V Umashankar,2010,04/10/2010,26/11/2010,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HY021402,Ms. Neerja,2010,04/10/2010,26/11/2010,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HY021411,Shri Ashok Kumar Yadav,2009,01/06/2009,24/07/2009,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01HY021417,Shri Suresh Kumar Goyal,2010,04/10/2010,26/11/2010,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HY021600,Shri Anurag Agarwal,2012,30/04/2012,22/06/2012,Haryana,Mid Career Programme for IAS Officers - Phase IV
01HY021700,Shri Vijayendra Kumar,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021800,Shri D Suresh,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021811,Shri R S Doon,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021814,Dr.(Ms.) Suprabha Dahiya,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021812,Dr. M S Seharawat,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021815,Shri Chander Parkash,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021816,Shri Chhajju Ram Rana,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021817,Shri Raj Bir Singh,2008,21/04/2008,11/06/2008,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1995 Batch
01HY021818,Shri Subash Chandra,2010,04/10/2010,26/11/2010,Haryana,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01HY021900,Shri Shyamal Misra,2012,30/04/2012,22/06/2012,Haryana,Mid Career Programme for IAS Officers - Phase IV
01HY021911,Ms. Neelam P Kasni,2012,30/04/2012,22/06/2012,Haryana,Mid Career Programme for IAS Officers - Phase IV
01HY022000,Shri Rakesh Gupta,2014,23/06/2014,14/08/2014,Haryana,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01HY022100,Shri Brijendra Singh,2007,16/06/2007,08/08/2007,Haryana,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01HY022100,Shri Brijendra Singh,2014,23/06/2014,14/08/2014,Haryana,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01HY022200,Shri Rajeev Ranjan,2008,16/06/2008,08/08/2008,Haryana,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01HY022200,Shri Rajeev Ranjan,2013,01/07/2013,23/08/2013,Haryana,8th Round of Phase-IV Mid Career Programme for IAS Officers
01HY022600,Shri Pankaj Aggarwal,2009,29/06/2009,21/08/2009,Haryana,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1999 Batch
01HY022500,Shri Nitin Kumar Yadav,2009,29/06/2009,21/08/2009,Haryana,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1999 Batch
01HY022700,Shri Vikas Gupta,2011,20/06/2011,12/08/2011,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY022800,Shri Pankaj Yadav,2011,20/06/2011,12/08/2011,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY022901,Smt. Amneet P Kumar,2012,02/07/2012,24/08/2012,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY022900,Shri Vijay Dahiya,2011,20/06/2011,12/08/2011,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY023000,Shri Satyaprakash T L,2012,02/07/2012,24/08/2012,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY023100,Shri Mohammed Shayin,2012,02/07/2012,24/08/2012,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY023111,Shri S P Srow,2012,02/07/2012,24/08/2012,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY023200,Dr. Amit Kumar Agrawal,2013,29/04/2013,21/06/2013,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY807001,Shri Pradeep Kasni,2010,07/06/2010,30/07/2010,Haryana,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01HY807001,Shri Pradeep Kasni,2013,01/07/2013,23/08/2013,Haryana,8th Round of Phase-IV Mid Career Programme for IAS Officers
01HY807002,Shri Praveen Kumar,2011,20/06/2011,12/08/2011,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY808002,Shri Mohan Lal Kaushik,2010,07/06/2010,30/07/2010,Haryana,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01HY808003,Shri Rohtas Singh Kharb,2012,02/07/2012,24/08/2012,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY809001,Shri Wazeer Singh Goyat,2013,29/04/2013,21/06/2013,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY809002,Shri Vikas Yadav,2012,02/07/2012,24/08/2012,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY809003,Shri Balraj Singh,2011,20/06/2011,12/08/2011,Haryana,Mid Career Programme for IAS Officers - Phase III
01HY809004,Shri Ashok Sangwan,2013,29/04/2013,21/06/2013,Haryana,Mid Career Programme for IAS Officers - Phase III
01JH030900,Dr. Smita Chugh,2010,12/12/2010,14/01/2011,Jharkhand,Mid Career Programme for IAS Officers- Phase V
01JH032601,Shri Sudhir Prasad,2009,05/01/2009,30/01/2009,Jharkhand,"Governance Challenges for India,A Mid-Career Programme for IAS Officers - Phase V"
01JH033100,Shri Rajiv Gauba,2010,12/12/2010,14/01/2011,Jharkhand,Mid Career Programme for IAS Officers- Phase V
01JH033600,Shri Radhey Shyam Poddar,2010,12/12/2010,14/01/2011,Jharkhand,Mid Career Programme for IAS Officers- Phase V
01JH035000,Shri Narsingh Narayan Pandey,2013,16/09/2013,18/10/2013,Jharkhand,7th Round MCT Phase 5
01JH034800,Shri B K Tripathi,2012,01/10/2012,02/11/2012,Jharkhand,6th round of Phase-V  of the MCTP for IAS officers (2012)
01JH035100,Shri Vishnu Kumar,2012,01/10/2012,02/11/2012,Jharkhand,6th round of Phase-V  of the MCTP for IAS officers (2012)
01JH035700,Dr. Udai Pratap Singh,2012,01/10/2012,02/11/2012,Jharkhand,6th round of Phase-V  of the MCTP for IAS officers (2012)
01JH035800,Dr. Ravindra Kumar Srivastava,2012,01/10/2012,02/11/2012,Jharkhand,6th round of Phase-V  of the MCTP for IAS officers (2012)
01JH036001,Shri Rajiv Kumar,2012,01/10/2012,02/11/2012,Jharkhand,6th round of Phase-V  of the MCTP for IAS officers (2012)
01JH036400,Shri Pradeep Kumar Jajoria,2013,16/09/2013,18/10/2013,Jharkhand,7th Round MCT Phase 5
01JH037300,Shri Sudhir Tripathi,2013,16/09/2013,18/10/2013,Jharkhand,7th Round MCT Phase 5
01JH042500,Shri Shailesh Kumar Singh,2007,21/04/2007,25/05/2007,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01JH043400,Dr. Pradeep Kumar,2007,21/04/2007,25/05/2007,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01JH042900,Shri Amrendra Pratap Singh,2007,21/04/2007,25/05/2007,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01JH043800,Ms. Nidhi Khare,2009,01/06/2009,24/07/2009,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
01JH044300,Shri Avinash Kumar,2011,22/08/2011,14/10/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase IV
01JH044801,Shri Surendra Singh Meena,2010,04/10/2010,26/11/2010,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01JH045100,Dr. Rajeev Arun Ekka,2012,30/04/2012,22/06/2012,Jharkhand,Mid Career Programme for IAS Officers - Phase IV
01JH045300,Shri Ajoy Kumar Singh,2010,04/10/2010,26/11/2010,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01JH045601,Dr. Nitin Madan Kulkarni,2010,04/10/2010,26/11/2010,Jharkhand,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01JH045900,Shri Mast Ram Meena,2011,22/08/2011,14/10/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase IV
01JH046500,Shri Sunil Kumar Barnwal,2012,30/04/2012,22/06/2012,Jharkhand,Mid Career Programme for IAS Officers - Phase IV
01JH047300,Shri Rahul Sharma,2007,16/06/2007,08/08/2007,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01JH047300,Shri Rahul Sharma,2013,01/07/2013,23/08/2013,Jharkhand,8th Round of Phase-IV Mid Career Programme for IAS Officers
01JH047301,Ms. Himani Pande,2007,16/06/2007,08/08/2007,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01JH047301,Ms. Himani Pande,2013,01/07/2013,23/08/2013,Jharkhand,8th Round of Phase-IV Mid Career Programme for IAS Officers
01JH046200,Ms. Vandana Dadel,2014,23/06/2014,14/08/2014,Jharkhand,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01JH047500,Shri Kamal Kishore Soan,2007,16/06/2007,08/08/2007,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01JH047500,Shri Kamal Kishore Soan,2013,01/07/2013,23/08/2013,Jharkhand,8th Round of Phase-IV Mid Career Programme for IAS Officers
01JH047501,Ms. Aradhana Patnaik,2007,16/06/2007,08/08/2007,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 1998 Batch
01JH047501,Ms. Aradhana Patnaik,2013,01/07/2013,23/08/2013,Jharkhand,8th Round of Phase-IV Mid Career Programme for IAS Officers
01JH047600,Shri Vinay Kumar Choubey,2010,07/06/2010,30/07/2010,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01JH047901,Shri Rahul Kumar Purwar,2008,16/06/2008,08/08/2008,Jharkhand,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01JH047901,Shri Rahul Kumar Purwar,2014,23/06/2014,14/08/2014,Jharkhand,"Mid Career Programme for IAS Officers - Phase IV, 2014"
01JH047900,Shri Sunil Kumar,2010,07/06/2010,30/07/2010,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01JH048000,Ms. Pooja Singhal,2008,16/06/2008,08/08/2008,Jharkhand,"Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2000,2001,1999  Batch"
01JH048100,Dr. Amitabh Kaushal,2010,07/06/2010,30/07/2010,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01JH048200,Shri Manish Ranjan,2010,07/06/2010,30/07/2010,Jharkhand,Phase III Programme of Mandatory Mid Career Training for IAS Officers - 2002 Batch
01JH048300,Shri Rajesh Kumar Sharma,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH048400,Dr. Aboobacker Siddique P,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH048600,Shri Prashant Kumar,2012,02/07/2012,24/08/2012,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH048500,Shri Prawin Kumar Toppo,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH048700,Shri K Ravi Kumar,2012,02/07/2012,24/08/2012,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH048900,Shri K Srinivasan,2013,29/04/2013,21/06/2013,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH049000,Shri Kripa Nand Jha,2013,29/04/2013,21/06/2013,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH808001,Shri Pravin Shankar,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH808002,Shri Ashok Kumar Sharma,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH808003,Shri Sunil Kumar Singh,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JH808006,Shri Ratan Kumar,2011,20/06/2011,12/08/2011,Jharkhand,Mid Career Programme for IAS Officers - Phase III
01JK006100,Dr. Arun Kumar,2008,06/01/2008,01/02/2008,Jammu & Kashmir,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01JK006200,Ms. Sonali Kumar,2008,06/01/2008,01/02/2008,Jammu & Kashmir,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01JK006600,Shri Khurshid Ahmed Ganai,2010,12/12/2010,14/01/2011,Jammu & Kashmir,Mid Career Programme for IAS Officers- Phase V
01JK006500,Shri Ashok Kumar Angurana,2008,06/01/2008,01/02/2008,Jammu & Kashmir,"Governance Challenges for India, A Mid-Career Programme for IAS Officers - Phase V"
01JK006800,Shri Brij Raj Sharma,2012,01/10/2012,02/11/2012,Jammu & Kashmir,6th round of Phase-V  of the MCTP for IAS officers (2012)
01JK006900,Shri Krishan Ballabh Agarwal,2013,16/09/2013,18/10/2013,Jammu & Kashmir,7th Round MCT Phase 5
01JK007000,Shri Pramod Kumar Jain,2013,16/09/2013,18/10/2013,Jammu & Kashmir,7th Round MCT Phase 5
01JK008400,Shri Shant Manu,2007,21/04/2007,25/05/2007,Jammu & Kashmir,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1991 Batch
01JK008800,Shri A. K. R. Parmar,2010,04/10/2010,26/11/2010,Jammu & Kashmir,Phase IV Programme of Mandatory Mid Career Training for IAS Officers
01JK008700,Shri Bipul Pathak,2009,01/06/2009,24/07/2009,Jammu & Kashmir,Phase IV Programme of Mandatory Mid Career Training for IAS Officers - 1992 Batch
